Category: All categories

Week,cincinnati: (Worldwide)
2022-03-06,18
2022-03-13,20
2022-03-20,21
2022-03-27,19
2022-04-03,22
2022-04-10,21
2022-04-17,21
2022-04-24,21
2022-05-01,22
2022-05-08,20
2022-05-15,20
2022-05-22,20
2022-05-29,19
2022-06-05,21
2022-06-12,20
2022-06-19,20
2022-06-26,20
2022-07-03,21
2022-07-10,22
2022-07-17,22
2022-07-24,21
2022-07-31,22
2022-08-07,28
2022-08-14,100
2022-08-21,38
2022-08-28,23
2022-09-04,21
2022-09-11,23
2022-09-18,23
2022-09-25,26
2022-10-02,20
2022-10-09,22
2022-10-16,20
2022-10-23,18
2022-10-30,21
2022-11-06,18
2022-11-13,17
2022-11-20,17
2022-11-27,18
2022-12-04,18
2022-12-11,18
2022-12-18,21
2022-12-25,19
2023-01-01,30
2023-01-08,20
2023-01-15,25
2023-01-22,30
2023-01-29,35
2023-02-05,17
2023-02-12,18
2023-02-19,17
2023-02-26,18
